Scenario	Replication	[RejectionRate].SampleAverage		[TotalTime].SampleAverage/1[min]		[AvgNoClients].Value		[EnteringRatePerHour].Value		[EntitySystem1].StateTimes("000")/[Simulation].RunDuration		[EntitySystem1].StateTimes("010")/[Simulation].RunDuration		[EntitySystem1].StateTimes("110")/[Simulation].RunDuration		[EntitySystem1].StateTimes("001")/[Simulation].RunDuration		[EntitySystem1].StateTimes("011")/[Simulation].RunDuration		[EntitySystem1].StateTimes("111")/[Simulation].RunDuration		[EntitySystem1].StateTimes("0b1")/[Simulation].RunDuration		[EntitySystem1].StateTimes("1b1")/[Simulation].RunDuration	
1	1	0.5801241010137763		5.7238723135926		1.9970128450489		20.93364		0.04749201518533333		0.10682055925253334		0.323185070235		0.0583215986883		0.15477740837006665		0.10895927809916667		0.052264314908366666		0.14817975526123334	
1	2	0.5815009588912738		5.736291060998833		2.000354983935333		20.923199999999998		0.0464350585951		0.10655796646603334		0.3236233657133667		0.058680748127099995		0.15447504928393332		0.11027980716133333		0.0517639960958		0.14818400855733332	
1	3	0.5820562102136322		5.7384983860040615		1.9990800858892		20.90184		0.04645215444406667		0.10687997631179999		0.3255041301484		0.058347358578933334		0.15388403068393333		0.10988403388303333		0.0517206201648		0.14732769578503332	
1	4	0.5822728014358132		5.740223819650364		1.9987124897313333		20.89176		0.04687378912983333		0.10629949139593334		0.3248500072987333		0.0585417966161		0.1545763554011		0.11094722900453333		0.05155720415526666		0.1463541269985	
1	5	0.5826751218902704		5.752118732713436		1.9979524248581333		20.840519999999998		0.04694352681406667		0.10638035731416666		0.32787503329233336		0.057871025769733325		0.15416339633206666		0.10997376342580001		0.050675798907466665		0.14611709814436666	
1	6	0.5827812350406897		5.742278194634731		2.0019223389852336		20.9178		0.0464976059033		0.10569102158496665		0.3254357852702333		0.057449236900366664		0.15487054580053333		0.11098918661973334		0.05199799526343333		0.14706862265743334	
1	7	0.5823862477167799		5.736660652907765		1.9962492559933334		20.87904		0.0470232438655		0.10674913945923332		0.3257191609496333		0.05841837382903334		0.15507930954316665		0.10914371844383332		0.051547515340833336		0.14631953856876667	
1	8	0.5828887913016138		5.7572511111692055		2.0014491999862		20.85852		0.046680502135199996		0.10601871199983333		0.32365614817776667		0.05806852465443333		0.15459345796223334		0.10997966770706666		0.05208521415966666		0.1489177732038	
1	9	0.582236565848045		5.741215831273166		1.9991496593957665		20.89272		0.0465590192539		0.10689123253723333		0.32489235489903334		0.0588285219778		0.15363940347966668		0.11018098421426667		0.051202015433766665		0.14780646820433332	
1	10	0.582611409162378		5.745889487487839		1.9982249077486		20.86596		0.04732861783089999		0.10619489376563333		0.3249038898916333		0.0586884276335		0.15398851423836668		0.11081166890746666		0.05113019183043333		0.14695379590206664	
1		0.5821533442514273	5.862569042906507E-4	5.7414299590432005	0.006541513177026567	1.9990108191572031	0.0012993870278844297	20.8905	0.0214128236845202	0.046828553315719994	2.659412539066585E-4	0.10644833500873667	2.893467607484586E-4	0.32496449458761334	9.612483001556092E-4	0.05832156127753	3.0226999909753363E-4	0.15440474710950666	3.345992871177862E-4	0.11011493374662333	4.969746140893874E-4	0.05159448662598333	3.466869118339749E-4	0.14732288832828666	6.681860550093369E-4

2	1	0.543899891207027		5.307178479093307		2.0113816605267		22.73964		0.02959902935293333		0.06344020235766666		0.33846704595099997		0.07335223735926667		0.21965427890359998		0.13187798875993334		0.06811504712603333		0.07549417018956667	
2	2	0.546128791460933		5.3180615904484885		2.0112411645847996		22.69164		0.029679648965566664		0.06384796561123333		0.33920973151609995		0.07311372485233332		0.2189556289197		0.13201002472603335		0.06763114715556666		0.07555212825346666	
2	3	0.5474714221270945		5.327188400801038		2.009371809420933		22.631520000000002		0.029569686259666664		0.06409532797606667		0.34054191744586665		0.07325488513036667		0.21869995399286665		0.13124127355303333		0.06797683414846667		0.07462012149366666	
2	4	0.5474253246986918		5.334103154782274		2.0122600218609668		22.634520000000002		0.029284101832866664		0.06355000836436667		0.34130462440613335		0.07282231990096667		0.21819961880773334		0.13265538719813333		0.06763877289589999		0.0745451665939	
