Scenario	Replication	[TotalTime].SampleAverage/1[min]		[TotalTime].EntityTimeAverage("CheckIn")/1[min]		[TotalTime].EntityTimeAverage("Waiting")/1[min]		[Agent1].WorkingTime / [Simulation].RunDuration		[Agent2].WorkingTime / [Simulation].RunDuration		[Agent3].WorkingTime / [Simulation].RunDuration		[Agent4].WorkingTime / [Simulation].RunDuration		[Agent5].WorkingTime / [Simulation].RunDuration		[Agent1].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent2].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent3].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent4].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent5].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60	
4	9	6.4777127350462615		6.003617486629193		0.47409524841700634		0.5615413942972667		0.3696559186388		0.26460498539899996		7.566643864333332E-4		0.0		5.617319999999999		3.6816		2.652		0.00744		0.0	
4	10	6.4824998802524245		6.001363271826193		0.48113660842629397		0.5620052925506334		0.3687102593716667		0.26826745247446665		6.874492606333333E-4		0.0		5.6202000000000005		3.69096		2.67564		0.0070799999999999995		0.0	
4		6.488742561754246	0.00905896802039674	6.005299278454819	0.0065965001497858625	0.483443283299424	0.004435521417468435	0.56218095659729	0.0011471668904076912	0.37052774669467997	0.0010629340480100375	0.2682812220766467	0.0019203967719765359	7.863055532966666E-4	9.550392035336982E-5	0.0	0.0	5.616552	0.008091684625486524	3.702756	0.00947278932947965	2.679804	0.016263263412658113	0.007932	0.0010168035961856153	0.0	0.0

5	1	6.511805333854084		6.018120541264535		0.4936847925895337		0.5643568289094999		0.3736309408666		0.27064357693773333		9.701783124666666E-4		6.477625003333333E-5		5.633039999999999		3.71628		2.70036		0.00996		6.000000000000001E-4	
5	2	6.50048192338897		6.021968230771092		0.47851369261784665		0.5618976237022		0.37006113029443327		0.26922256576026665		7.300554471E-4		4.919449383333333E-5		5.60148		3.6936		2.67264		0.00732		6.000000000000001E-4	
5	3	6.488987835068708		6.00300959417156		0.48597824089714886		0.5613507882890667		0.37005956478436663		0.2682334281279333		7.055656267333333E-4		9.921889576666666E-5		5.607959999999999		3.7014		2.6810400000000003		0.0070799999999999995		9.599999999999999E-4	
5	4	6.476628485612098		5.99857950476823		0.47804898084379077		0.5622256751574333		0.37053316194959995		0.2653910090897		5.667788371333333E-4		2.73323902E-5		5.61768		3.71268		2.65356		0.00588		3.6E-4	
5	5	6.4763927561825		5.992395457532857		0.48399729864958874		0.5598891878261333		0.3687384624495		0.2652947443250333		8.654133783E-4		9.77294186E-5		5.59848		3.693		2.66172		0.009479999999999999		0.00108	
5	6	6.498008181822057		6.009341598660955		0.4886665831611697		0.5637156237662		0.37061296489093337		0.2713165688155		8.719364567666666E-4		5.419905036666666E-5		5.623799999999999		3.705		2.709		0.0084		6.000000000000001E-4	
5	7	6.475510352783175		5.997122743966757		0.4783876088164984		0.5601655235593332		0.37126631299509993		0.2672639502825333		6.601462264333333E-4		7.23397096E-5		5.613720000000001		3.7068000000000003		2.6724		0.00624		8.4E-4	
5	8	6.493968300839166		6.007474354956818		0.4864939458823685		0.5645208357543333		0.3718151835915333		0.27245313316596664		8.670806288E-4		1.7216242716666666E-4		5.629560000000001		3.72468		2.71848		0.008879999999999999		0.00156	
5	9	6.477381815532962		6.003617486629193		0.4737643289036281		0.5615253143874999		0.3696330131674333		0.2646008505479666		7.642727789333333E-4		3.551183966666667E-5		5.6170800000000005		3.68148		2.652		0.00744		3.6E-4	
5	10	6.481987208076978		6.001363271826193		0.4806239362508177		0.5619877005865332		0.3686874013391		0.2682622549397667		6.783176582666667E-4		5.477913373333333E-5		5.62008		3.69096		2.6752800000000003		0.0070799999999999995		4.7999999999999996E-4	
5		6.48811521931607	0.009010378734598645	6.005299278454819	0.0065965001497858625	0.4828159408612391	0.004297570867760433	0.5621635101938233	0.0011463394076798648	0.37050381363286	0.0010572207700222749	0.26826820819923997	0.0019214181829782231	7.679745350933332E-4	8.809296501426119E-5	7.272436089666665E-5	3.0105793755647843E-5	5.616288	0.008059345696693828	3.7025880000000004	0.009404824770532219	2.6796480000000003	0.016324618144755897	0.007775999999999999	9.69276897849113E-4	7.44E-4	2.677963448294244E-4
