Scenario	Replication	[TotalTime].SampleAverage/1[min]		[TotalTime].EntityTimeAverage("CheckIn")/1[min]		[TotalTime].EntityTimeAverage("Waiting")/1[min]		[Agent1].WorkingTime / [Simulation].RunDuration		[Agent2].WorkingTime / [Simulation].RunDuration		[Agent1].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent2].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60	
1	1	42473.37915237441		6.020440066734542		42467.35871230769		0.9998938684286		0.0		9.964920000000001		0.0	
1	2	42210.64019285782		6.027720578897685		42204.61247227903		0.9999873415252		0.0		9.95388		0.0	
1	3	41831.128903663935		6.008287033341349		41825.12061663074		0.9999520266375334		0.0		9.98568		0.0	
1	4	40706.9212107149		6.00098496345574		40700.92022575122		0.9999470293031333		0.0		9.9978		0.0	
1	5	40417.68268939881		5.99285093938273		40411.689838459264		0.9999591962961666		0.0		10.01148		0.0	
1	6	42895.85619360236		6.009105457705046		42889.84708814441		0.9998685557432332		0.0		9.983400000000001		0.0	
1	7	41895.640032391246		5.997714219802552		41889.642318171725		1.0		0.0		10.0038		0.0	
1	8	43859.27315778938		6.008966173786363		43853.26419161482		0.9999968863774333		0.0		9.984960000000001		0.0	
1	9	40888.957798867355		6.007462911367516		40882.95033595601		0.9999971561127666		0.0		9.98748		0.0	
1	10	42543.761290356		5.999366056756864		42537.76192429923		1.0		0.0		10.00104		0.0	
1		41972.32406220162	763.9450055500939	6.007289840123038	0.0075407035557588705	41966.31677236141	763.9418352450562	0.9999602060424065	3.342883662365186E-5	0.0	0.0	9.987444000000002	0.01260974739926729	0.0	0.0

2	1	8.3615049450813		6.018120541264535		2.3433844038168528		0.6043322363669333		0.6053340649093999		6.03048		6.0297600000000005	
2	2	8.295098736072047		6.021976122547516		2.273122613524565		0.6011563222673333		0.6007867283380334		5.99232		5.98308	
2	3	8.324657944656959		6.0030095941715595		2.3216483504854		0.5995346770299		0.6009138886939666		5.9958		6.0026399999999995	
2	4	8.230002465317643		5.99857950476823		2.2314229605493026		0.5988753988112667		0.5998685586128		5.99364		5.99652	
2	5	8.2769461804963		5.992395457532857		2.2845507229633575		0.5972437095148		0.5976265003009		5.981879999999999		5.981879999999999	
2	6	8.337357599704147		6.009341598660955		2.3280160010432738		0.6017653182101667		0.6048059747696		6.01296		6.03384	
2	7	8.296783781596405		5.997122743966757		2.2996610376296744		0.6004873280059667		0.5989426543098333		6.00108		5.99892	
2	8	8.350557106201856		6.007474354956818		2.3430827512450443		0.6045835844888333		0.6052448110789667		6.03744		6.04572	
2	9	8.246008634682703		6.003617486629193		2.2423911480534158		0.5989498173252		0.5976091453963001		5.98848		5.96988	
2	10	8.294317695946976		6.00133385413021		2.292983841816726		0.5995250605253		0.6001308806235666		6.00192		5.99184	
2		8.301323508975633	0.03084756097402706	6.005297125862863	0.0065986352539205055	2.2960263831127614	0.028076743497919224	0.6006453452545699	0.00169793322743233	0.6011263207033367	0.002137000269307745	6.0036	0.012955017271478988	6.003407999999999	0.017864620128249513
