Scenario	Replication	[TotalTime].SampleAverage/1[min]		[TotalTime].EntityTimeAverage("CheckIn")/1[min]		[TotalTime].EntityTimeAverage("Waiting")/1[min]		[Agent1_C].WorkingTime / [Simulation].RunDuration		[Agent2_C].WorkingTime / [Simulation].RunDuration		[Agent1_P].WorkingTime / [Simulation].RunDuration		[Agent2_P].WorkingTime / [Simulation].RunDuration		[Agent3_P].WorkingTime / [Simulation].RunDuration		[Agent1_C].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent2_C].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent1_P].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent2_P].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent3_P].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60	
1	1	7.213784232215762		4.831188239285224		2.38259599293058		0.5120839526480667		0.0		0.4590145912736		0.0		0.0		10.22424		0.0		1.83588		0.0		0.0	
1	2	7.082683234922419		4.79893148164667		2.283751753275678		0.5104150620262333		0.0		0.4474377739501		0.0		0.0		10.185		0.0		1.7905200000000001		0.0		0.0	
1	3	7.181687627692733		4.817063309269056		2.3646243184237297		0.5094814636227667		0.0		0.45380867972399996		0.0		0.0		10.18224		0.0		1.8161999999999998		0.0		0.0	
1	4	7.11227932427009		4.803817268576854		2.308462055693158		0.5094405184263		0.0		0.45054223675		0.0		0.0		10.1874		0.0		1.80276		0.0		0.0	
1	5	7.168517496055722		4.818986134042809		2.349531362012952		0.5071838796079333		0.0		0.4537156108808333		0.0		0.0		10.14948		0.0		1.8142800000000001		0.0		0.0	
1	6	7.07052314783053		4.781192204663234		2.2893309431674127		0.5132301971402999		0.0		0.446750157272		0.0		0.0		10.2576		0.0		1.78908		0.0		0.0	
1	7	7.10810406704396		4.801040904561021		2.3070631624829425		0.5097250180726334		0.0		0.450496836224		0.0		0.0		10.19772		0.0		1.80216		0.0		0.0	
1	8	7.189915985678227		4.820553989314324		2.3693619963638906		0.5132448258397999		0.0		0.4575569009602333		0.0		0.0		10.25628		0.0		1.8270000000000002		0.0		0.0	
1	9	7.058625134064178		4.79790764588444		2.260717488179748		0.5085749914265666		0.0		0.4476780837709333		0.0		0.0		10.16532		0.0		1.7928		0.0		0.0	
1	10	7.11254180751487		4.809842134363502		2.3026996731512734		0.5093838641546666		0.0		0.4520823236554333		0.0		0.0		10.18704		0.0		1.8066		0.0		0.0	
1		7.129866205728848	0.03898532822457039	4.808052331160714	0.010311284697508293	2.3218138745681367	0.029736793225689163	0.5102763772965266	0.0014248940477744638	0.0	0.0	0.4519083194461133	0.0029938575850180205	0.0	0.0	0.0	0.0	10.199232	0.02578436168682581	0.0	0.0	1.807728	0.01118950470202932	0.0	0.0	0.0	0.0

2	1	5.012029082742125		4.831188239285224		0.18084084345694768		0.3602935630089		0.15179038963916666		0.33215382513496666		0.1268607661386333		0.0		7.19292		3.03132		1.3296		0.50628		0.0	
2	2	4.96953623608236		4.79903139146086		0.17050484462146842		0.35892379080836667		0.15150119700526665		0.32423170174253335		0.12322063203823332		0.0		7.16052		3.0246000000000004		1.299		0.49163999999999997		0.0	
2	3	4.995165060424825		4.817063309269056		0.17810175115581678		0.35842108315346666		0.1510603804693		0.32761222882149993		0.12619645090249998		0.0		7.162439999999999		3.0198		1.3116		0.5046		0.0	
2	4	4.977847085632598		4.803817268576854		0.17402981705565165		0.3582407258309		0.15120448861163333		0.3261513505307		0.12439088621929999		0.0		7.16796		3.01944		1.3047600000000001		0.498		0.0	
2	5	4.996143566661952		4.8190681647397		0.17707540192228566		0.35697304945506664		0.15021083015286665		0.32840854980569995		0.12533462529769998		0.0		7.143		3.00648		1.31484		0.49956		0.0	
2	6	4.952176930054592		4.7812829711771165		0.17089395887754397		0.35944951431126665		0.15378068282903334		0.3256367399242666		0.121134744689		0.0		7.18128		3.07632		1.3037999999999998		0.4854		0.0	
2	7	4.974922272324881		4.801128461727358		0.17379381059756016		0.3584100561704		0.15131886378113332		0.3278986293480333		0.12260941004756666		0.0		7.17216		3.02568		1.31064		0.49163999999999997		0.0	
2	8	4.998656692024507		4.820553989314324		0.17810270271019085		0.3599097031639		0.1533351226759		0.3304567837093		0.12710011725093331		0.0		7.193160000000001		3.06312		1.3194		0.5076		0.0	
2	9	4.965717969580455		4.798025209400517		0.16769276017992613		0.35806324725353333		0.1505117441730333		0.3250123003376333		0.12269881012759999		0.0		7.1588400000000005		3.00648		1.30236		0.49055999999999994		0.0	
2	10	4.983908928272984		4.81020478220089		0.17370414607203608		0.35880493808656666		0.1505836233036		0.32765886489763335		0.12451726079903333		0.0		7.176		3.01104		1.3104		0.49656		0.0	
2		4.982610382380128	0.012905685641822262	4.80813637871519	0.010291658924366268	0.17447400366494276	0.0029147808860534898	0.35874896712423665	6.895007444127296E-4	0.15152973226409333	8.408514651595908E-4	0.32752209742522664	0.001745294101788227	0.12440637035105	0.001422909101523154	0.0	0.0	7.170828	0.011253286089057546	3.028428	0.0167733155472976	1.3106400000000002	0.006487233018339919	0.49718400000000007	0.005316314073467087	0.0	0.0

3	1	4.813890512702036		4.706454963769738		0.10743554893234923		0.3598204662039		0.1523004658445333		0.31386517786999996		0.1138437348884		0.006197061269666667		7.18188		3.04236		1.25508		0.45659999999999995		0.12419999999999999	
3	2	4.78681682672252		4.683884555668704		0.10293227105369498		0.3589130869700333		0.15151043122003333		0.3102060468583333		0.1085605854364		0.005702690371033333		7.15536		3.02976		1.24236		0.43428		0.114	
