Scenario	Replication	[TotalTime].SampleAverage/1[min]		[TotalTime].EntityTimeAverage("CheckIn")/1[min]		[TotalTime].EntityTimeAverage("Waiting")/1[min]		[Agent1].WorkingTime / [Simulation].RunDuration		[Agent2].WorkingTime / [Simulation].RunDuration		[Agent3].WorkingTime / [Simulation].RunDuration		[Agent4].WorkingTime / [Simulation].RunDuration		[Agent5].WorkingTime / [Simulation].RunDuration		[Agent1].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent2].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent3].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent4].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60		[Agent5].NumberProcessed / ([Simulation].RunDuration/1[min]) * 60	
4	9	6.057564008596022		6.003617486629193		0.053946521966724545		0.5520914322716667		0.36673421941219997		0.19541463188883332		0.0823186791488		0.0		5.5138799999999994		3.65988		1.96008		0.82452		0.0	
4	10	6.054137471032748		6.001363271826193		0.05277419920659536		0.5528682826266332		0.36570298338019996		0.19635974529393335		0.08473944235663333		0.0		5.52444		3.6614400000000002		1.96068		0.84732		0.0	
4		6.060525891913027	0.006755176027781855	6.005297060399322	0.006598064914764594	0.055228831513696654	0.0018897499137274472	0.5522260683899733	0.001147593018032833	0.3677449689985866	0.0011253420822688676	0.19776300025605667	0.0014270602553635196	0.08404426585981001	7.048997016953967E-4	0.0	0.0	5.516724	0.008249081994446619	3.6750960000000004	0.007955327617705312	1.976568	0.012719969183872123	0.8386680000000001	0.006240424687748093	0.0	0.0

5	1	6.028895329724221		6.018120541264534		0.010774788459765318		0.5495339188178		0.3642626306174666		0.1924947037104333		0.07875694984073334		0.024618098289899998		5.480639999999999		3.62592		1.92072		0.78408		0.24888	
5	2	6.030274082225595		6.021942266250786		0.00833181597476902		0.5469266901037666		0.36142679589416665		0.19113195304009997		0.07797530198593333		0.024508139769666665		5.4534		3.60132		1.9014000000000002		0.777		0.24264	
5	3	6.012200909082136		6.0030095941715595		0.009191314910605044		0.5459517448851		0.3602270258756667		0.19013502510223332		0.0784212924383		0.025713477422566664		5.45256		3.6036		1.90464		0.7804800000000001		0.25716	
5	4	6.007760407564713		5.99857950476823		0.00918090279645976		0.5477854633390999		0.3606169773791333		0.18775998533476665		0.07746919449089999		0.025112336880166664		5.4699599999999995		3.6138		1.8853199999999999		0.7699199999999999		0.25116	
5	5	6.003380858690457		5.992395457532857		0.010985401157495633		0.5442747539060333		0.3593091024233333		0.18955880478093332		0.07651420626723333		0.025237000946499995		5.45124		3.59724		1.8943200000000002		0.7683599999999999		0.2526	
5	6	6.019192984584013		6.009341598660955		0.009851385923066704		0.5486392072277		0.36087296972733335		0.1923536456259		0.07930897742006666		0.025396492978766665		5.47392		3.606		1.9243200000000003		0.7902		0.25236	
5	7	6.005961963074783		5.997100563411789		0.008861399663170044		0.5461512983968		0.3613773406108		0.19059829064463332		0.07714531361756666		0.0241615283584		5.469600000000001		3.61044		1.90536		0.7692		0.24552000000000002	
5	8	6.017748354304342		6.007474354956818		0.010273999347521672		0.5487203148608		0.3620840446564333		0.1939675450056		0.07892280579533334		0.02613368524963333		5.47872		3.62676		1.9314000000000002		0.7902		0.25608000000000003	
5	9	6.013335918785744		6.003617486629193		0.009718432156416107		0.5472638967051666		0.3595446422223		0.18874889523326666		0.07663132283116666		0.0243702057296		5.464799999999999		3.5883599999999998		1.89408		0.7667999999999999		0.24432	
5	10	6.010762686007572		6.001363271826193		0.009399414181399184		0.5477089018699		0.35930665384693333		0.18919264283586665		0.07869628325013334		0.024765971854566665		5.4762		3.5944800000000003		1.8890399999999998		0.78828		0.24588000000000002	
5		6.014951349404357	0.006526129557551144	6.005294463947291	0.006594336787487688	0.009656885457066848	6.001443443962504E-4	0.5472956190112167	0.0011090192264677583	0.36090281832535664	0.0010836363383968188	0.19059414913137332	0.001370982353422644	0.07798416479373668	7.109811856986488E-4	0.02500169374797666	4.5003627980732825E-4	5.467104	0.007972597336280139	3.6067920000000004	0.009080442253983906	1.90506	0.011198503848768401	0.778452	0.006771441230717146	0.24965999999999997	0.00358036802742958
