Scenario	Replication	[ScenarioInputs].Distribution		[EntitySystem1].StateTimes("0Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("1Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("2Nonworking")/[ScenarioInputs].SimDuration		[EntitySystem1].StateTimes("3Nonworking")/[ScenarioInputs].SimDuration		[TotalNonOp].SampleAverage/1[h]		[Queue1].AverageQueueTime/1[h]		[EntitySystem1].StateTimes("0Nonworking")/[ScenarioInputs].SimDuration * 0 + [EntitySystem1].StateTimes("1Nonworking")/[ScenarioInputs].SimDuration * 1 + [EntitySystem1].StateTimes("2Nonworking")/[ScenarioInputs].SimDuration * 2 + [EntitySystem1].StateTimes("3Nonworking")/[ScenarioInputs].SimDuration * 3		[Queue1].QueueLengthAverage	
3	1	Uniform		0.293227300254845		0.4369415581660039		0.2158059348916111		0.054025206687539996		4.194880123498393		0.21989534075014994		1.030629048011846		0.05402520668754134	
3	2	Uniform		0.29266918678815995		0.43630755371444		0.21668104883530168		0.05434221066209833		4.192532755914457		0.2206181061152741		1.0326962833713385		0.05434221066210208	
3	3	Uniform		0.29072270766729946		0.43829038141015114		0.2171845590926211		0.05380235182992833		4.219457926191259		0.2195369190683887		1.0340665550851784		0.05380235182992816	
3	4	Uniform		0.288967208262485		0.43933923840833167		0.2173323814203222		0.05436117190886111		4.219019579355616		0.2211475827611869		1.0370875169755593		0.05436117190885839	
3	5	Uniform		0.2894359636514544		0.4346824261887422		0.22092090324738164		0.054960706912421664		4.240875555905025		0.22381600944940241		1.0414063534207705		0.054960706912414156	
3	6	Uniform		0.2913251078519028		0.43781388831247886		0.2169383220343233		0.053922681801294996		4.211972848291121		0.21976786055420502		1.0334585777850105		0.05392268180130085	
3	7	Uniform		0.2911772493285589		0.4350731176929411		0.21974313494439665		0.05400649803410333		4.226138837091189		0.22018484345968195		1.0365788816840444		0.054006498034103866	
3	8	Uniform		0.2910027750092717		0.43827915294483555		0.2167690354568783		0.05394903658901444		4.210597318933525		0.2197606280867623		1.0336643336256355		0.05394903658901928	
3	9	Uniform		0.29016743947644663		0.4384587870444805		0.21655875784193335		0.05481501563713944		4.221353416472933		0.22334640843733988		1.0360213496397654		0.054815015637142576	
3	10	Uniform		0.2898938173264716		0.43668404491765944		0.2188878631531289		0.054534274602740004		4.224987577493423		0.2219565263157888		1.0380625950321374		0.054534274602736674	
